State,District,Population,Tested_Date,Total_Tested,Total_Confirmed,Total_Recovered,Total_Deceased,Total_Vaccinated1,Total_Vaccinated2,Delta_Tested,Delta_Confirmed,Delta_Recovered,Delta_Deceased,Delta_Vaccinated1,Delta_Vaccinated2,Delta7_Tested,Delta7_Confirmed,Delta7_Recovered,Delta7_Deceased,Delta7_Vaccinated1,Delta7_Vaccinated2
Tamil Nadu,Erode,2259608,2020-07-23,66240,104303,102836,686,1370925,552624,0,68,94,2,244,899,0,477,573,4,16741,46724
Tamil Nadu,Kallakurichi,1370281,2020-07-23,28314,31364,31056,210,696213,299822,0,14,23,0,4089,7322,0,66,118,0,22603,52087
Tamil Nadu,Kancheepuram,1166401,2020-07-23,37505,74970,73386,1258,663206,250181,0,30,37,0,679,1040,0,225,259,2,13961,24360
Tamil Nadu,Kanyakumari,1863178,2020-07-23,79600,62362,61112,1048,1100888,450620,0,17,12,0,431,1276,0,120,102,0,17732,51185
Tamil Nadu,Karur,1076588,2020-07-23,17190,24091,23523,356,626136,289120,0,20,16,0,74,834,0,136,90,1,5882,32339
Tamil Nadu,Krishnagiri,1883731,2020-07-23,14284,43570,43036,348,1040491,407695,0,16,19,0,404,1731,0,134,160,1,15883,37027
Tamil Nadu,Madurai,3991038,2020-07-23,97279,75215,73853,1172,1500331,583138,0,13,17,0,1060,2012,0,99,122,3,26340,42498
Tamil Nadu,Mayiladuthurai,901000,1970-01-01,0,23280,22878,316,0,0,0,3,10,0,0,0,0,41,80,0,0,0
Tamil Nadu,Nagapattinam,1614069,2020-07-23,20984,21074,20561,346,813495,289588,0,16,20,1,273,953,0,97,121,10,8662,23176
Tamil Nadu,Namakkal,1721179,2020-07-23,24758,52245,51253,498,987830,397079,0,43,51,0,168,442,0,315,397,2,12694,28265
Tamil Nadu,Nilgiris,735071,2020-07-23,45839,33566,33164,212,501986,343811,0,20,25,2,71,1092,0,124,220,3,1613,31952
Tamil Nadu,Perambalur,564511,2020-07-23,7981,12067,11790,243,326872,136491,0,2,5,0,383,2161,0,26,27,0,4307,17440
Tamil Nadu,Pudukkottai,1918725,2020-07-23,20835,30183,29627,416,827320,314780,0,12,8,0,554,2862,0,75,68,2,10691,34202
Tamil Nadu,Ramanathapuram,1337560,2020-07-23,23389,20564,20158,357,660673,280037,0,3,6,0,852,2329,0,25,55,0,9961,32447
Tamil Nadu,Ranipet,1210277,2020-07-23,20118,43436,42557,775,557267,174051,0,14,14,0,506,485,0,69,73,2,10793,13744
Tamil Nadu,Salem,3480008,2020-07-23,79660,99893,97619,1685,1925084,791376,0,62,67,1,396,2125,0,427,442,3,25814,66134
Tamil Nadu,Sivaganga,1341250,2020-07-23,25824,20195,19854,206,726010,287468,0,13,9,0,195,564,0,82,78,0,10170,31816
Tamil Nadu,Tenkasi,1407627,2020-07-23,26338,27357,26834,484,736882,233177,0,4,4,0,291,446,0,25,14,0,16935,21454
Tamil Nadu,Thanjavur,2402781,2020-07-23,67445,75352,73874,972,1224986,486660,0,37,59,0,12155,2378,0,310,428,6,49025,31228
Tamil Nadu,Theni,1243684,2020-07-23,45839,43571,43018,521,660187,304832,0,1,5,1,379,1536,0,15,23,1,11199,33309
Tamil Nadu,Thiruvallur,3725697,2020-07-23,67948,119370,117138,1842,1425728,563426,0,28,55,0,2328,4382,0,252,396,3,25332,47695
Tamil Nadu,Thiruvarur,1268094,2020-07-23,67445,41461,40760,442,630274,246969,0,23,22,2,291,624,0,170,253,5,13453,29614
Tamil Nadu,Thoothukkudi,1738376,2020-07-23,49288,56304,55757,409,984706,328797,0,11,9,1,11497,1612,0,85,90,1,46323,22453
Tamil Nadu,Tiruchirappalli,2713858,2020-08-07,92586,77534,76038,1059,1468456,636356,0,37,49,0,2445,892,0,302,334,5,32150,48874
Tamil Nadu,Tirunelveli,1665253,2020-07-23,54208,49374,48812,432,815687,275985,0,11,13,1,940,627,0,93,125,1,22582,19904
Tamil Nadu,Tirupathur,1111812,2020-07-23,23998,29301,28600,625,541496,205219,0,10,8,0,311,525,0,50,66,0,11111,24743
Tamil Nadu,Tiruppur,2471222,2020-07-23,36301,95405,93683,979,1671392,611015,0,69,53,1,133,443,0,504,537,5,20414,50762
Tamil Nadu,Tiruvannamalai,2468965,2020-07-23,76170,54968,54122,667,1270049,533376,0,18,28,0,4455,10228,0,120,158,0,31415,73235
Tamil Nadu,Vellore,1614242,2020-07-23,47936,49864,48564,1131,763735,336366,0,12,15,0,953,1825,0,117,139,1,18978,31716
Tamil Nadu,Viluppuram,2093003,2020-07-23,52064,45857,45382,356,1085842,444502,0,10,11,0,12953,11812,0,79,83,1,53748,67153
Tamil Nadu,Virudhunagar,1943309,2020-07-23,28620,46294,45687,548,1072788,505098,0,5,8,0,1007,3437,0,38,45,0,16628,50467
Tripura,Dhalai,377988,2021-02-02,61582,7037,7000,35,258334,164654,0,0,0,0,5,531,0,1,2,0,264,11234
Tripura,Gomati,436868,2021-02-02,47437,8134,8043,74,279099,161408,0,0,0,0,0,1,0,8,3,0,319,9611
Tripura,Khowai,327391,2021-02-02,24046,4559,4500,54,202148,111955,0,2,0,0,0,0,0,3,0,0,373,5866
Tripura,North Tripura,415946,2021-02-02,100931,7250,7199,34,283802,190594,0,2,0,0,0,0,0,4,8,0,352,4099
Tripura,Sipahijala,484233,2021-02-02,53067,6360,6273,75,330932,211903,0,0,0,0,0,9,0,8,4,0,451,10397
Tripura,South Tripura,433737,2021-02-02,83030,10168,10104,53,303987,209259,0,1,0,0,0,1,0,4,1,0,267,5639
Tripura,Unokoti,277335,2021-02-02,34930,8609,8530,68,173390,101178,0,1,0,0,0,5,0,4,3,0,762,10307
Tripura,West Tripura,917534,2021-02-02,202939,32351,31817,420,676784,470030,0,6,2,0,5,13,0,55,41,0,1366,17141
Uttar Pradesh,Agra,4380793,2021-01-31,491361,25765,25308,457,2172907,746386,0,0,0,0,178,265,0,0,2,0,23657,42953
Uttar Pradesh,Aligarh,3673849,2021-01-31,482825,21280,21172,108,1589498,498586,0,0,0,0,9,25,0,0,0,0,34650,57576
Uttar Pradesh,Ambedkar Nagar,2398709,2021-01-31,123151,5040,4885,152,1135268,349925,0,0,0,0,138,145,0,1,0,0,21528,32042
Uttar Pradesh,Amethi,2549935,2021-01-31,267014,9972,9828,143,1015454,375261,0,0,0,0,165,11,0,0,2,0,19777,37617
Uttar Pradesh,Amroha,1838771,2021-01-13,254038,16616,16412,203,871164,265607,0,0,0,0,6,8,0,0,0,0,16080,23048
Uttar Pradesh,Auraiya,1372287,2021-01-10,107079,10090,9887,203,614711,180775,0,0,0,0,0,0,0,0,0,0,6878,16443
Uttar Pradesh,Ayodhya,2468371,2021-01-31,376735,16919,16629,290,1270889,418182,0,0,0,0,217,452,0,0,1,0,26036,37279
Uttar Pradesh,Azamgarh,4616509,2020-12-27,12474,17906,17675,228,2165409,643824,0,0,0,0,1764,3111,0,2,0,0,41754,63205
Uttar Pradesh,Baghpat,1302156,2021-01-31,327192,9132,8991,141,692255,337171,0,0,0,0,10,52,0,0,0,0,7829,24151
Uttar Pradesh,Bahraich,2384239,2021-01-31,308225,11549,11371,178,1752196,642554,0,0,0,0,648,1565,0,0,0,0,54069,106010
Uttar Pradesh,Ballia,3223642,2021-01-31,267420,21610,21376,234,1433455,388341,0,0,0,0,86,170,0,0,0,0,29248,48334
Uttar Pradesh,Balrampur,2149066,2021-01-31,276237,7494,7354,138,995084,438892,0,1,0,0,747,630,0,2,0,0,21033,56322
Uttar Pradesh,Banda,1799541,2021-01-10,303185,10992,10832,158,795903,236840,0,0,0,0,486,432,0,1,0,0,38560,36938
Uttar Pradesh,Barabanki,3257983,2021-01-30,147422,19850,19624,225,1589704,448292,0,0,0,0,11,44,0,1,0,0,51121,59870
Uttar Pradesh,Bareilly,4465344,2021-01-13,465209,44028,43650,377,2221830,749751,0,0,0,0,6458,255,0,1,1,0,68245,64148
Uttar Pradesh,Basti,2461056,2021-01-31,296570,11717,11385,330,1189235,399451,0,1,0,0,3555,4769,0,2,0,0,24797,39395
Uttar Pradesh,Bhadohi,1554203,2021-01-31,119023,7720,7557,163,793094,244431,0,0,0,0,6,7,0,0,1,0,15479,20211
Uttar Pradesh,Bijnor,3683896,2021-01-30,312985,14794,14668,126,1756682,600482,0,0,0,0,-1,1,0,0,0,0,27491,53680
Uttar Pradesh,Budaun,3712738,2021-01-23,224207,14941,14843,98,1408673,364360,0,0,0,0,581,417,0,0,0,0,53729,43678
Uttar Pradesh,Bulandshahr,3498507,2020-12-07,269090,20215,19972,243,1647985,646236,0,0,0,0,2,46,0,0,0,1,18195,42644
Uttar Pradesh,Chandauli,1952713,2021-01-31,211249,16208,15852,356,939599,238646,0,0,0,0,192,395,0,0,1,0,19998,31247
Uttar Pradesh,Chitrakoot,990626,2021-01-10,234060,7110,7031,79,447303,129157,0,0,0,0,329,536,0,0,0,0,13007,16383
Uttar Pradesh,Deoria,3098637,2021-01-31,304520,20223,20003,220,1597034,537293,0,0,0,0,81,167,0,0,0,0,29495,67895
Uttar Pradesh,Etah,1761152,2021-01-31,263295,9968,9868,99,788675,213371,0,0,0,0,475,170,0,0,0,0,16622,25756
Uttar Pradesh,Etawah,1579160,2021-01-10,297761,13933,13640,293,708258,253661,0,0,0,0,873,984,0,0,0,0,52312,35349
Uttar Pradesh,Farrukhabad,1887577,2021-01-10,231856,10348,10153,194,833824,229745,0,0,0,0,81,439,0,1,0,0,15703,28433
Uttar Pradesh,Fatehpur,2632684,2021-01-10,82928,6814,6674,139,1246314,410120,0,0,0,0,53,168,0,1,0,0,13675,42615
Uttar Pradesh,Firozabad,2496761,2021-01-31,322656,8720,8585,135,1005224,328351,0,0,0,0,5881,3105,0,0,0,0,66838,47728
Uttar Pradesh,Gautam Buddha Nagar,1674714,2021-01-24,675396,63353,62876,467,1799728,974353,0,1,2,0,100,816,0,6,13,0,22023,43162
Uttar Pradesh,Ghaziabad,4661452,2021-01-24,712611,55673,55207,461,2247039,1071908,0,1,0,0,3698,4330,0,3,2,0,47837,71692
Uttar Pradesh,Ghazipur,3622727,2021-01-31,265737,21641,21359,282,1690195,509886,0,0,0,0,241,524,0,0,2,0,22615,43797
Uttar Pradesh,Gonda,3431386,2021-01-31,241234,12282,12016,266,1604382,555773,0,0,0,0,40,1698,0,0,0,0,22042,51150
Uttar Pradesh,Gorakhpur,4436275,2021-01-31,480536,59439,58588,848,2347051,889085,0,0,1,0,96,377,0,1,4,0,33169,69539
Uttar Pradesh,Hamirpur,1104021,2021-01-10,240382,5232,5130,102,561456,185949,0,0,0,0,3,0,0,0,0,0,11985,14350
Uttar Pradesh,Hapur,1338211,2021-01-03,299725,12638,12421,217,658863,254519,0,0,0,0,127,307,0,0,2,0,15823,21964
Uttar Pradesh,Hardoi,4091380,2021-01-30,224784,13755,13406,349,1852490,537647,0,0,0,0,221,594,0,0,0,0,29546,66612
Uttar Pradesh,Hathras,1565678,2021-01-31,260525,2920,2877,43,701190,234481,0,0,0,0,0,1,0,0,0,0,16507,25542
Uttar Pradesh,Jalaun,1670718,2021-01-10,221719,11687,11482,202,819651,251406,0,0,0,0,18,30,0,3,0,0,14119,21614
Uttar Pradesh,Jaunpur,4476072,2021-01-20,322824,22584,22349,235,2189622,667013,0,0,0,0,209,3689,0,0,2,0,41689,67101
Uttar Pradesh,Jhansi,2000755,2020-11-26,312540,36556,35892,663,1132511,379818,0,1,0,0,14,14,0,1,0,0,10719,25914
Uttar Pradesh,Kannauj,1658005,2021-01-10,124019,9231,9115,114,755119,257048,0,0,0,0,82,431,0,0,0,0,24440,44639
Uttar Pradesh,Kanpur Dehat,1795092,2021-01-10,344697,6197,6087,110,923661,290898,0,0,0,0,47,85,0,0,0,0,27985,38783
Uttar Pradesh,Kanpur Nagar,4572951,2021-01-10,685820,82933,81024,1905,2251558,859280,0,0,0,0,38,96,0,3,1,0,64788,66517
Uttar Pradesh,Kasganj,1438156,2021-01-31,271969,4250,4197,53,608818,147948,0,0,0,0,51,29,0,0,0,0,8148,13675
Uttar Pradesh,Kaushambi,1596909,2021-01-14,207064,4424,4353,70,760960,218775,0,0,0,0,94,35,0,1,0,0,38263,28403
Uttar Pradesh,Kushinagar,3560830,2021-01-30,314772,15617,15389,228,1632782,458054,0,0,0,0,211,585,0,0,0,0,16785,46465
Uttar Pradesh,Lakhimpur Kheri,4013634,2021-01-30,368533,24410,24117,292,1829019,382178,0,0,0,0,1183,1370,0,1,0,0,46453,51586
Uttar Pradesh,Lalitpur,1218002,2020-08-07,21781,12742,12613,128,627553,143519,0,0,0,0,4,8,0,1,0,0,8010,13539
Uttar Pradesh,Lucknow,4588455,2020-12-13,1237583,238839,236165,2651,3106658,1488333,0,0,0,0,10826,11083,0,10,10,0,69404,107763
Uttar Pradesh,Maharajganj,2665292,2021-01-31,334716,12440,12300,140,1283534,372559,0,0,0,0,53,316,0,0,0,0,20643,36312
Uttar Pradesh,Mahoba,876055,2021-01-10,142992,4268,4182,86,444352,148388,0,0,0,0,10,9,0,0,0,0,4765,8960
Uttar Pradesh,Mainpuri,1847194,2021-01-31,228496,10028,9846,182,860461,219990,0,0,0,0,647,1354,0,0,0,0,31507,37443
Uttar Pradesh,Mathura,2541894,2021-01-29,198379,20297,19893,402,1207578,418117,0,0,0,0,63,164,0,1,1,0,10807,23027
Uttar Pradesh,Mau,2205170,2021-01-31,281445,8333,8252,80,1017497,307052,0,0,0,0,787,453,0,1,1,0,25202,32390
Uttar Pradesh,Meerut,3447405,2021-01-31,798404,69480,68567,898,1764744,842448,0,1,0,0,25,79,0,13,3,0,25100,57600
Uttar Pradesh,Mirzapur,2494533,2021-01-31,312764,11088,10972,116,1335308,462157,0,0,1,0,787,419,0,0,1,0,24968,41785
Uttar Pradesh,Moradabad,4773138,2021-01-13,400459,39102,38752,349,1390249,443211,0,0,1,0,3951,2357,0,0,1,0,52013,39070
Uttar Pradesh,Muzaffarnagar,4138605,2021-01-25,161704,31009,30737,269,1264005,467387,0,0,0,0,979,707,0,1,0,0,15476,38924
Uttar Pradesh,Pilibhit,2037225,2021-01-13,291538,11032,10838,193,978332,256931,0,0,0,0,2,1,0,0,0,0,9611,17989
Uttar Pradesh,Pratapgarh,3173752,2021-01-14,100500,16038,15875,163,1480021,456869,0,0,0,0,1796,1482,0,0,0,0,40603,47832
Uttar Pradesh,Prayagraj,5959798,2021-01-14,729300,78699,77609,1088,2731341,862244,0,0,1,0,17,48,0,1,6,0,75719,79660
Uttar Pradesh,Rae Bareli,3404004,2021-01-30,387408,17104,16761,343,1436175,344694,0,0,0,0,576,429,0,0,0,0,33906,46996
Uttar Pradesh,Rampur,2335398,2021-01-16,274288,11826,11676,148,989666,250420,0,0,0,0,3,1,0,2,0,0,23526,28753
Uttar Pradesh,Saharanpur,3464228,2021-01-30,266387,32730,32309,420,1638111,576986,0,0,0,0,6,17,0,0,0,0,19216,33326
Uttar Pradesh,Sambhal,2217020,2021-01-13,309333,9438,9331,106,893786,204352,0,0,0,0,1708,411,0,0,0,0,27630,23914
Uttar Pradesh,Sant Kabir Nagar,1714300,2021-01-31,292606,8159,8061,98,799506,195105,0,0,0,0,82,202,0,0,0,0,44511,26920
Uttar Pradesh,Shahjahanpur,3002376,2021-01-13,437195,20361,19916,444,1743273,538827,0,0,0,0,3563,969,0,0,0,0,185421,79519
Uttar Pradesh,Shamli,1274815,2021-01-31,246597,12976,12931,45,604968,206438,0,0,0,0,24,14,0,0,0,0,12602,16389
Uttar Pradesh,Shrawasti,1114615,2021-01-31,221566,4388,4353,35,515155,181654,0,0,0,0,37,120,0,0,0,0,7342,17808
Uttar Pradesh,Siddharthnagar,2553526,2021-01-31,295047,9373,9273,100,1225133,479630,0,0,0,0,250,2209,0,0,0,0,18746,53973
Uttar Pradesh,Sitapur,4474446,2021-01-28,289473,12398,12211,185,2139996,497241,0,0,0,0,81,197,0,0,0,0,33825,52112
Uttar Pradesh,Sonbhadra,1862612,2021-01-31,306175,16807,16556,251,812891,236871,0,0,0,0,200,157,0,0,0,0,21438,24430
Uttar Pradesh,Sultanpur,3790922,2021-01-31,309395,14915,14777,138,1178195,370998,0,0,0,0,2,18,0,0,0,0,14962,31247
Uttar Pradesh,Unnao,3110595,2021-01-10,298886,15011,14757,254,1554190,420513,0,0,0,0,201,948,0,0,0,0,26506,41790
Uttar Pradesh,Varanasi,3682194,2021-01-31,595510,85501,84528,971,2109381,843905,0,0,0,0,159,441,0,2,1,0,38187,55104
Uttarakhand,Almora,621927,2021-01-30,84443,12190,11378,196,378242,215715,0,0,0,0,37,416,0,7,7,0,729,10440
Uttarakhand,Bageshwar,259840,2021-01-30,55626,5764,5678,60,183447,131244,0,0,0,0,75,1286,0,1,0,0,371,6323
Uttarakhand,Chamoli,391114,2021-01-30,90390,12242,11972,62,273850,191420,0,0,0,0,13,268,0,4,4,0,822,11652
Uttarakhand,Champawat,259315,2021-01-30,95068,7603,7358,53,183354,119870,0,1,0,0,44,613,0,3,0,0,754,6007
Uttarakhand,Dehradun,1698560,2021-01-30,401496,112363,108137,3521,1465464,793803,0,3,4,0,308,3611,0,30,24,0,5963,49795
Uttarakhand,Haridwar,1927029,2021-01-30,369542,51498,49096,1019,1456257,635360,0,1,0,0,224,1907,0,10,8,1,3960,52191
Uttarakhand,Nainital,955128,2021-01-30,204422,39232,38140,944,722854,398680,0,0,3,0,31,288,0,10,14,0,2285,16850
Uttarakhand,Pauri Garhwal,686527,2021-01-30,138878,17686,16668,315,431320,229262,0,0,0,0,25,108,0,3,5,0,2116,14253
Uttarakhand,Pithoragarh,485993,2021-01-30,72686,10260,9962,181,318644,183765,0,0,1,0,89,609,0,3,6,0,930,10608
Uttarakhand,Rudraprayag,236857,2021-01-30,52378,8800,8535,106,170911,113480,0,0,1,0,30,326,0,0,3,0,416,6212
Uttarakhand,Tehri Garhwal,616409,2021-01-30,105111,15835,14827,108,381493,206527,0,0,0,0,12,120,0,0,0,0,2235,15658
Uttarakhand,Udham Singh Nagar,1648367,2021-01-30,337292,37875,36315,761,1277738,518326,0,0,0,0,167,3581,0,0,3,0,3588,48283
Uttarakhand,Uttarkashi,329686,2021-01-30,120026,12548,12129,74,234425,160687,0,0,0,0,12,83,0,4,0,0,1063,9910
West Bengal,Alipurduar,1700000,1970-01-01,0,15589,15441,102,949775,353666,0,4,5,0,579,1298,0,31,35,0,38488,29790
West Bengal,Bankura,3596292,1970-01-01,0,36313,35839,274,2245147,706177,0,30,21,0,38854,5692,0,161,133,1,220390,76120
West Bengal,Birbhum,3502387,1970-01-01,0,41197,40727,286,2152966,846286,0,20,20,0,6911,2868,0,176,102,0,99629,84919
West Bengal,Cooch Behar,2822780,1970-01-01,0,29275,29060,97,1444232,421663,0,10,13,0,3386,395,0,77,93,0,122592,26214
West Bengal,Dakshin Dinajpur,1670931,1970-01-01,0,17889,17573,170,1063493,363056,0,14,16,0,724,998,0,111,108,1,53398,21657
West Bengal,Darjeeling,1842034,1970-01-01,0,57143,56326,539,1324555,664306,0,23,31,0,945,1844,0,189,214,1,21148,69087
West Bengal,Hooghly,5520389,1970-01-01,0,86300,84650,990,3368156,1343978,0,58,74,0,41006,9034,0,472,497,2,274722,105570
West Bengal,Howrah,4841638,1970-01-01,0,98757,96567,1524,2905925,1254076,0,73,73,0,14299,4502,0,518,473,2,207351,95203
West Bengal,Jalpaiguri,3869675,1970-01-01,0,41982,41256,572,1144138,410719,0,16,17,1,9642,3130,0,102,120,6,53967,63773
West Bengal,Jhargram,1136548,1970-01-01,0,12135,12063,27,714456,211586,0,3,5,0,477,700,0,25,39,0,39020,19553
West Bengal,Kalimpong,251642,1970-01-01,0,7036,6950,54,180713,124420,0,2,4,0,8,429,0,18,28,0,513,10626
West Bengal,Kolkata,4486679,1970-01-01,0,322541,315146,5152,4784084,3039486,0,274,244,6,334,1626,0,1843,1553,25,36977,206020
West Bengal,Malda,3997970,1970-01-01,0,33406,33121,186,2029144,590497,0,32,8,0,2191,1771,0,77,51,0,227391,55976
West Bengal,Murshidabad,7102430,1970-01-01,0,33993,33605,328,3952659,976111,0,5,8,0,17667,1587,0,48,40,1,621102,86224
West Bengal,Nadia,5168488,1970-01-01,0,73333,72054,859,2798942,884320,0,31,48,1,15875,1863,0,302,326,8,251739,89327
West Bengal,North 24 Parganas,10082852,1970-01-01,0,329257,323097,4833,6547702,2720315,0,144,147,6,5231,7658,0,1066,961,27,235852,241201
West Bengal,Paschim Bardhaman,2882031,1970-01-01,0,57778,57184,356,1789611,677747,0,32,25,0,286,786,0,213,149,1,94473,72103
West Bengal,Paschim Medinipur,5094238,1970-01-01,0,53581,52820,507,2758576,877978,0,26,28,0,6512,1457,0,181,198,1,270458,66132
West Bengal,Purba Bardhaman,4835532,1970-01-01,0,42005,41588,198,2596246,859528,0,16,25,0,17168,4002,0,147,176,2,260764,51741
West Bengal,Purba Medinipur,4417377,1970-01-01,0,63098,62549,397,3560589,1471674,0,16,17,0,5370,2226,0,94,120,1,71724,144185
West Bengal,Purulia,2927965,1970-01-01,0,19419,19283,113,1679941,492310,0,2,3,0,13266,1866,0,17,21,0,159111,40922
West Bengal,South 24 Parganas,8153176,1970-01-01,0,100957,98950,1336,4850898,1832073,0,75,74,1,7086,3270,0,542,470,5,310444,169231
West Bengal,Uttar Dinajpur,3000849,1970-01-01,0,19858,19559,238,1341457,436182,0,8,7,0,0,0,0,43,46,2,130243,44686
